,speech
4107,"Con su venia, señor presidente. Compañeras y compañeros diputados, los derechos humanos son aquellos que nos permiten, como personas, vivir de manera digna en un entorno de libertad, de paz y de justicia."
4108," Túrnese a la Comisión de Transparencia y Anticorrupción, para dictamen."
4109,(desde la curul): Presidente.
4110," ¿Con qué objeto, señor diputado?"
4111," (desde la curul): Con su venia, señor presidente. Es para solicitar a la diputada promovente, nos permita suscribirnos, por favor, a su iniciativa."
4112," (desde la curul): Sí, adelante."
4113, Responde favorablemente. Pueden pasar a la Secretaría para la lista de adhesiones.
4114," El diputado Benjamín Robles Montoya, tiene la palabra por cinco minutos para presentar iniciativa con proyecto de decreto que expide la Ley General de Sociedades Cooperativas, suscritas por diputados integrantes del Grupo Parlamentario del Partido del Trabajo."
4115," Muchas gracias, diputado presidente. Nuestro movimiento se debe al sector social. Nuestro movimiento tiene naturaleza social. Por lo tanto, vengo a esta tribuna a decir que jamás le vamos a fallar a nuestra naturaleza y a nuestro sector que son quienes confiaron en nosotros y nos trajeron hasta aquí."
4116," Túrnese la iniciativa de sociedades cooperativas, a la Comisión de Economía Social y Fomento del Cooperativismo para su dictamen, y a la Comisión de Presupuesto y Cuenta Pública, para su opinión, y la que él se refiere del artículo 2o. de la Ley del Impuesto Especial Sobre Producción y Servicios, que se turne a la Comisión de Hacienda y Crédito Público, para su dictamen."
4117," Tiene la palabra, hasta por cinco minutos, el diputado Juan Francisco Ramírez Salcido, del Grupo Parlamentario de Movimiento Ciudadano, para presentar iniciativa con proyecto de decreto que adiciona el artículo 30 de la Ley General de Cultura Física y Deporte."
4118," Muchas gracias. Con su permiso, señora presidenta. En nuestros días es de vital importancia reconocer el papel que juega el deporte como elemento fundamental y necesario para el pleno desarrollo de nuestra sociedad."
4119," Concluya, por favor."
4120,"Con todo gusto. La incorporación de la educación física en el sistema educativo ha adquirido una importancia especial a medida que se considera a la escuela no solo como un espacio en donde se desarrolla únicamente el conocimiento formal de los niños, sino que también se trasmiten valores, habilidades y competencias relacionadas con el cuerpo y con actividad motriz de los alumnos."
4121," Concluya, señor diputado."
4122,"Estoy por concluir, señora presidenta. Es por ello que presento esta reforma a la Ley General de Cultura Física y Deporte, con el objetivo fundamental de contar con las herramientas básicas a fin de identificar las carencias y fallas de las instalaciones deportivas escolares, y estar en condiciones de atender las necesidades fundamentales y con ello fomentar el sano desarrollo de la infancia mexicana. Es cuanto, señora presidenta."
4123," Túrnese a la Comisión de Deporte, para su dictamen."
4124," El diputado Javier Salinas Narváez, del Grupo Parlamentario del PRD, presentará en cinco minutos tres iniciativas. Una, del artículo 100 de la Constitución Política de los Estados Unidos Mexicanos, que adiciona un artículo 105 Bis a la Ley Orgánica del Poder Judicial de la Federación."
4125," Gracias, señora presidenta. Aprovecho esta intervención para denunciar ante el pueblo de México la ley mordaza que la Jucopo aprobó el día de ayer y que limita a los partidos políticos, sobre todo de oposición, a una intervención por seis de una nueva minoría, o más bien una mayoría artificial que tuvo que completar su mayoría a cambio de algunos programas sociales."
4126," Túrnese la primera iniciativa a Puntos Constitucionales para su dictamen, a la Comisión de Justicia para su opinión. La segunda túrnese a la Comisión de Energía para su dictamen. Y la tercera túrnese a las Comisiones Unidas de Energía y de Hacienda y Crédito Público para su dictamen."
4127," Tiene la palabra, hasta por cinco minutos, el diputado Marco Antonio Gómez Alcantar, para presentar iniciativa con proyecto de decreto que adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos y de la Ley General de Instituciones y Procedimientos Electorales, suscrita por diputados integrantes del Partido Verde Ecologista de México."
4128,"Presidenta, muchas gracias, con su permiso. Buen día a todos. Hace un par de semanas la fracción parlamentaria del Partido Verde presentó una iniciativa para sancionar como delito toda presión o coacción a una mujer para separarse de un cargo legítimamente ganado por elección popular."
4129," Túrnese a la Comisión de Puntos Constitucionales, para dictamen. Y a la Comisión de Gobernación y Población, para su opinión."
4130," Tiene la palabra hasta por cinco minutos la diputada Olga Patricia Sosa Ruíz, del Grupo Parlamentario del Partido Encuentro Social, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 24 de la Ley Federal de Protección al Consumidor, y 22 de la Ley Federal para Prevenir y Sancionar los delitos Cometidos en Materia de Hidrocarburos."
4131, Con la venia de la Presidencia.
4132," Adelante, diputada."
4133," Honorable asamblea, en México es común que en algún momento formemos parte de la estadística del gran robo en las gasolineras."
4134,"Túrnese a Comisiones Unidas de Economía, Comercio y Competitividad y de Justicia para su dictamen."
4135," Tiene la palabra hasta por cinco minutos la diputada Lorena Cuéllar Cisneros, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Salud."
4136," Compañeras y compañeros diputados. Con su permiso, señora presidenta. Desde hace años he luchado contra una enfermedad silenciosa que día a día cobra la vida de personas de todas las edades. Deja huérfanos, frustra los sueños de los más jóvenes y reduce las posibilidades de que muchos enfermos de otros padecimientos se curen. Me refiero a la insuficiencia renal."
4137,"Gracias. Túrnese a la Comisión de Salud, para su dictamen."
4138," Tiene la palabra, hasta por cinco minutos, el diputado Armando Tejeda, del Grupo Parlamentario de Acción Nacional, para presentar iniciativa con proyecto de decreto que reforma diversas disposiciones de la Ley Agraria, y de la Ley de Desarrollo Rural Sustentable, suscrita por los diputados, también, Guadalupe Romo Romo, entre otros."
4139," Compañeras y compañeros legisladores, el día de hoy, el Grupo Parlamentario de Acción Nacional, presenta una iniciativa para cumplir dos preceptos constitucionales en el artículo 27 de nuestra Carta Magna, para promover el desarrollo integral y garantizar a la población campesina elevar su nivel de vida con pleno respeto a la voluntad de los ejidatarios y de los comuneros."
4140," Túrnese a la Comisión de Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, para su dictamen."
4141," Tiene la palabra, hasta por cinco minutos, la diputada María Alemán Muñoz Castillo, del Grupo Parlamentario del PRI, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, y expide la Ley General de Participación Ciudadana."
4142," Con su permiso, señora presidenta. Compañeras y compañeros diputados, vivimos una época que nos exige poner todo nuestro esfuerzo para empoderar a las y a los ciudadanos."
4143," Gracias, diputada. Túrnese a la Comisión de Puntos Constitucionales, para dictamen y a las Comisiones de Gobernación y Población, y de Presupuesto y Cuenta Pública para opinión."
4144," Tiene la palabra, hasta por cinco minutos, la diputada Teresita de Jesús Vargas Meraz, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que adiciona el artículo 61 de la Ley Aduanera."
4145,"Con su venia, señora presidente."
4146,"Adelante, diputada."
4147,"Actualmente la frontera norte de México, debido a su colindancia con la principal economía del mundo, que es la de Estados Unidos de América, se enfrenta a una coyuntura económica, social y cultural muy distinta a la del resto del territorio nacional, situación que el Poder Ejecutivo federal explícitamente reconoce mediante el decreto por el que se regula la importación definitiva de vehículos usados, publicado en el Diario Oficial de la
Federación el primero de julio del 2011, mismo que se ha venido prorrogando."
4148," Gracias a usted, diputada."
4149," Túrnese a la Comisión de Hacienda y Crédito Público, para su dictamen."
4150," Tiene la palabra, hasta por cinco minutos, el diputado Ricardo Flores Suárez, para presentar iniciativa con proyecto de decreto que reforma los artículos 4o, 30, 94 y 95 de la Ley General de Cultura Física y Deporte, suscrita por diputadas y diputados integrantes del Partido Acción Nacional."
4151, Buenas tardes. Con la venia de la Presidencia.
4152," Adelante, diputado."
4153," Compañeras y compañeros diputados. Estoy seguro que muchos hemos escuchado o hemos visto que el alcalde en turno o el diputado federal o la diputada federal ha gestionado recursos para el desarrollo y construcción de un gimnasio, de un centro deportivo, de una cancha de fútbol, de una alberca, y todo funciona de maravilla, pero al cabo del tiempo no pasan ni tres años de construida la obra y comienza la misma historia que todo mundo conocemos. No
hay dinero para el mantenimiento."
4154, Ha concluido su tiempo.
4155,"...para todos. Termino. Por lo anterior proponemos reformar el artículo 95 y adicionar una fracción XIII al artículo 4, una fracción XII Bis al artículo 30 y un párrafo tercero al artículo 94 de la Ley General de Cultura Física y Deporte, con el objeto de que la Conade integre y actualice el Registro Nacional de la Infraestructura Deportiva a más tardar el 8 de septiembre de cada año..."
4156," Tiempo, diputado."
4157,"...y que Conade nos envíe a las comisiones de Deporte, Presupuesto y Cuenta Pública de la Cámara de Diputados, y que este funja como un instrumento de consulta objetivo en el proceso de discusión y aprobación del Presupuesto de Egresos de la Federación, en cada ejercicio fiscal."
4158, Tiempo.
4159,"Les ido el apoyo a mis compañeros diputados Ernesto y Ana Gabriela, impulsen estas iniciativas que son muy sensibles..."
4160," Tiempo, diputado."
4161,...y  que son de gran importancia para el desarrollo del deporte en México.
4162," Túrnese a la Comisión del Deporte, para su dictamen."
4163," Tiene la palabra, hasta por cinco minutos, el diputado Pablo Gómez Álvarez, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que expide la Ley General de Propaganda Oficial, y reforma el artículo 242 de la Ley General de Instituciones y Procedimientos Electorales."
4164, Ciudadanas y ciudadanos diputados. Vengo a presentar una Ley General de Propaganda Oficial adicionada de una reforma al artículo 242 de la Ley General de Instituciones y Procedimientos Electorales.
4165," Tiempo, diputado."
4166,Muchas gracias por su atención.
4167," Pregunta al diputado Pablo Gómez, si acepta que se adhieran a su iniciativa de propaganda oficial, los diputados Rubén Terán Águila, Martha Tagle y Merary Villegas Sánchez."
4168,"Y los otros cuatrocientos noventa y tantos también, acepto."
4169," Gracias. Túrnese a la Comisión de Gobernación y Población para dictamen, y a la Comisión de Presupuesto y Cuenta Pública para su opinión."
4170,(desde la curul): Presidenta.
4171," ¿Con qué objeto, diputada Martha Tagle?"
4172,"(desde la curul): Gracias. Era, justamente quería ver si el orador me podía resolver una duda para poderme adherir plenamente a su iniciativa, porque me parece un tema fundamental el asunto de la propaganda gubernamental. Sé que no estamos en el momento..."
4173," No está a... No, no está a discusión."
4174,"(desde la curul): ... pero, y no estamos a discusión y no la quiero discutir, pero es importante aclarar una duda para saber en qué sentido nos adherimos."
4175," Si lo aclara con él, para ver si la suscribe, por favor."
4176,(desde la curul): Presidenta.
4177," Diputada Margarita García y el diputado Gerardo Fernández Noroña. A ver, discúlpeme. Creo que no había terminado la diputada. Diputada Martha Tagle."
4178,"(desde la curul): Le solicito respeto, presidenta. Yo me dirigí de manera muy respetuosa, le estoy diciendo que queremos aclarar dudas para saber si nos adherimos a esta iniciativa, porque me parece fundamental."
4179," Diputada, usted tiene demasiada experiencia legislativa, sabe que los diputados tienen libertad de proponer lo que ellos decidan. Y si usted tiene alguna duda háblelo con el diputado, eso es lo que le... si no, pues no la suscribe, eso es. Diputada Margarita García."
4180,"(desde la curul): Sí, diputada presidenta. Muchas gracias. Solo quisiera que se asentara desde este momento, y que con esa generosidad del tiempo que se le ha dado al diputado Pablo, pues también a partir de hoy se asiente que para todos los grupos parlamentarios vamos a tener el mismo tiempo para la exposición de nuestros temas, diputada presidenta."
4181," No, no fue generosidad para Pablo Gómez. Él presentó una iniciativa completa y el Reglamento establece que cuando se crea una nueva iniciativa se le dan diez minutos, una nueva ley pues. Diputado Gerardo Fernández Noroña."
4182," (desde la curul): Una consulta, diputada presidenta, me están informando que el Canal del Congreso no está transmitiendo nuestra sesión. Los martes corresponde a la Cámara de Diputados y quisiera en algún momento que se nos informara por qué el cambio."
4183," Haremos la consulta correspondiente, diputado. De las iniciativas, hay más... Diputada Inés Giovani, es que no alcanzo a ver. Por favor, micrófono."
4184,"(desde la curul): Merary Villegas, diputada presidente. Muchas gracias. Rápidamente, nada más para adherirnos a esta importantísima iniciativa de Ley General de Propaganda Oficial. Y, además, rápidamente, contestarle a la diputada..."
4185," Ya quedó adherida usted y la iniciativa de Pablo Gómez no está a la discusión, fue la presentación de su iniciativa."
4186,"(desde la curul): No, no es a discusión, nada más contestarle a la diputada, presidenta, que hace un rato estuvo en tribuna y donde manifestaba una supuesta preocupación de que el próximo gobierno abusaría, precisamente de esta propaganda oficial, cuando hablaba sobre revocación de mandato, ahí está su contestación. Vamos por esto y por más."
4187," De las iniciativas que pidió el diputado Pablo Gómez turnar a comisiones, la primera y la segunda pasan a la Comisión de Puntos Constitucionales, para su dictamen. Y la tercera, a la Comisión de Gobernación y Población, para su dictamen."
4188," Tiene la palabra hasta por cinco minutos el diputado Hugo Rafael Ruiz Lustre, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 3 y 25 de la Ley General de Partidos Políticos."
4189," Bien. Con el permiso de la Mesa Directiva. Con su venia, presidenta."
4190," Adelante, diputado."
4191," Si mi compañero intérprete de lengua de señas se encuentra, para los compañeros sordos."
4192, ¿Por qué no está el lenguaje de señas?
4193,"Empiezo. Tenemos instrumentos internacionales que han marcado a México como un promotor de inclusión y defensa de derechos diversos. En esta tribuna han ocupado este espacio para subir iniciativas, para proponerlas, para que queden plasmadas en instrumentos locales y como este, internacionales."
4194, Túrnese a la Comisión de Gobernación y Población para su dictamen.
4195," Tiene la palabra hasta por cinco minutos la diputada María de los Ángeles Huerta del Río, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona el artículo 4o. de la Ley del Servicio Postal Mexicano."
4196,Con el permiso de la Presidencia.
4197,Adelante.
4198,"Compañeros, compañeras diputadas. La debilidad e ineficiencia de las instituciones del Estado son uno de los tantos rostros que presenta la corrupción. Desafortunadamente Correos de México no ha sido la excepción."
4199,"Tiempo, diputada."
4200,"Con esto termino. Esta propuesta, compañeros y compañeras diputadas, no solo es una iniciativa de reforma, es un llamado a la conciencia y a la ética pública a la que, en tanto representantes populares estamos todos obligados. Es cuanto. Gracias."
4201,"Gracias. Túrnese a la Comisión de Comunicaciones y Transportes, para su dictamen."
4202," Tiene la palabra hasta por cinco minutos, el diputado Jesús Fernando García Hernández, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley Orgánica de la Administración Pública Federal."
4203, Regálale un pescado a un hombre y le darás alimento para un día. Enséñale a pescar y lo alimentarás para el resto de su vida. Viejo proverbio chino. Con el permiso de la Mesa Directiva.
4204,Adelante.
4205," Compañeras y compañeros diputados y diputadas, al pueblo de México, a todos los pescadores del país, a todas las comunidades pesqueras, justicia, primero los pobres."
4206," Gracias a usted. Túrnese a la Comisión de Gobernación y Población, para su dictamen. Esta Cámara recibe a marinos mercantes, invitados por el diputado Julio Carranza y la diputada Carmen Mora. Sean ustedes bienvenidos."
4207," Tiene la palabra, hasta por cinco minutos, la diputada Mariana Dunyaska García Rojas, del Grupo Parlamentario del PAN, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 88 Bis y 120 de la Ley de Aguas Nacionales."
4208," Con su venia, diputado presidente."
4209," Adelante, diputada."
4210," Legisladoras y legisladores, ciudadanos y ciudadanas que nos siguen en el Congreso, medios de comunicación, vengo de Veracruz y recuerdo que todavía en mi niñez encontrábamos en la playa estrellas de mar, cangrejitos. Hoy esa realidad está cerrada, ríos, cascadas, lagunas, manglares, todo esto se encuentra en una grave contaminación."
4211," Gracias, diputada. Insértese el texto íntegro en el Diario de los Debates. Y túrnese a la Comisión de Recursos Hidráulicos, Agua Potable y Saneamiento para dictamen."
4212," Tiene la palabra, hasta por cinco minutos, la diputada Lourdes Erika Sánchez Martínez, para presentar iniciativa con proyecto de decreto que reforma los artículos 170 de la Ley Federal del Trabajo y 50 de la Ley General de los Derechos de Niñas, Niños y Adolescentes, suscrita por ella misma y la diputada Soraya Pérez Munguía, del Grupo Parlamentario del PRI."
4213," Con su permiso, señor presidente."
4214," Proceda, diputada."
4215," Compañeras y compañeros diputados, la participación de las mujeres en el mercado laboral se ha incrementado en las últimas décadas."
4216," Muchas gracias, diputada. Felicidades."
4217," Túrnese a las Comisiones Unidas de Trabajo y Previsión Social y de Derechos de la Niñez y Adolescencia, para dictamen."
4218," Tiene la palabra hasta por cinco minutos, el diputado Francisco Javier Saldívar Camacho, del Grupo Parlamentario del PES, para presentar iniciativa con proyecto de decreto que reforma el artículo 212 de la Ley General de Salud."
4219," Con su venia, presidente."
4220, Proceda.
4221," Honorable asamblea, para los diputados y diputadas que conformamos el Grupo Parlamentario de Encuentro Social, es muy importante atender temas que apoyen el bienestar familiar y eso incluye los relacionados en materia de salud."
4222," Muchas gracias, diputado. Túrnese a la Comisión de Salud para dictamen."
4223," Tiene la palabra, hasta por cinco minutos, el diputado Santiago González Soto, del Grupo Parlamentario del PT, para presentar iniciativa con proyecto de decreto que reforma el artículo 7o. de la Ley de Caminos, Puentes y Autotransporte Federal."
4224," Muy buenas tardes. Con la venia de la Presidencia. Compañeras y compañeros diputados, el descontento de los automovilistas y transportistas sobre el alto y excesivo costo de las cuotas de peaje en todas las autopistas nacionales ha provocado las quejas de este sector, por lo que ya basta de abusos que afectan directamente al bolsillo de los ciudadanos a causa de las concesiones leoninas de autopistas y carreteras que encarecen los precios de la
canasta básica."
4225," Muchas gracias, diputado. Túrnese a la Comisión de Comunicaciones y Transportes, para dictamen."
4226," Tiene la palabra hasta por cinco minutos la diputada Lourdes Celenia Contreras González, para presentar iniciativa con proyecto de decreto que adiciona el artículo 83 de la Constitución Política de los Estados Unidos Mexicanos, suscrita por ella misma y diputados integrantes del Grupo Parlamentario de Movimiento Ciudadano."
4227," Con su venia, presidente. Muy buenas tardes."
4228," Muchas gracias, diputada. Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
4229," Tiene la palabra, hasta por cinco minutos, el diputado Teófilo Manuel García Corpus, del Grupo Parlamentario del PRD, para presentar iniciativa con proyecto de decreto que adiciona y deroga diversas disposiciones de la Ley Minera y de la Ley General del Equilibrio Ecológico y la Protección al Ambiente."
4230," Con su permiso, señor presidente."
4231," Adelante, diputado."
4232,"Honorable asamblea, pongo a consideración de ustedes, compañeras y compañeros diputados, la iniciativa con proyecto de decreto para reformar la Ley Minera y la Ley General del Equilibrio Ecológico y la Protección al Ambiente, que tiene como propósito garantizar los derechos de los pueblos indígenas a los procesos de adjudicación, de concesiones mineras y la protección del patrimonio ambiental de los ecosistemas ubicados en los territorios
indígenas."
4233," Muchas gracias, diputado. Túrnese a las Comisiones Unidas de Economía, Comercio y Competitividad, y de Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales, para dictamen."
4234," Tiene la palabra hasta por cinco minutos la diputada Ana Patricia Peralta de la Peña, para presentar iniciativa con proyecto de decreto que adiciona un artículo 28 Bis a la Ley Federal de los Trabajadores al Servicio del Estado, Reglamentaria del Apartado B, del artículo 123 constitucional y reforma el artículo 132 de la Ley Federal del Trabajo, también suscrita por la diputada Beatriz Manrique Guevara, de los
Grupos Parlamentarios del Partido Verde y de Morena."
4235,"Con su venia, señor presidente."
4236," Adelante, diputada."
4237," Compañeras y compañeros diputados, en México los resultados en cuestión de igualdad de género son todavía deficientes. Según datos de la Organización para la Cooperación y el Desarrollo Económico, únicamente el 47 por ciento de las mujeres mexicanas mayores de edad se encuentran incluidas en el mercado laboral. A comparación del promedio del 82 por ciento de los hombres mexicanos. Es claro que la diferencia es abismal."
4238," Muchas gracias, diputada. Túrnese a la Comisión de Trabajo y Previsión Social para dictamen."
4239," Tiene la palabra hasta por cinco minutos la diputada Sonia Rocha Acosta, del Grupo Parlamentario del PAN, para presentar iniciativa con proyecto de decreto que reforma los artículos 3o. y 31 de la Constitución Política de los Estados Unidos Mexicanos."
4240,Con el permiso de la Mesa. Compañeras y compañeros diputados. En el PAN consideramos a la educación como un derecho fundamental de las personas.
4241,"Permítame, diputada."
4242,"Sí, gracias, deje que terminen de..."
4243,"Diputadas, diputados, llamo su atención un momento a quienes mantienen diálogos en los pasillos y entre curules, sean tan amables de tomar su lugar. Si sus gestiones parlamentarias requieren más tiempo, hagan favor de pasar a los salones anexos para poder continuar, y por respeto a la oradora. Adelante."
4244,"Muchas gracias, presidente, gracias. Hasta que alguien pone orden en este pleno. Gracias. En el PAN consideramos a la educación como un derecho fundamental de las personas. La educación constituye el cimiento en el que descansa el proyecto de desarrollo nacional y la edificación de un país justo, un país solidario, incluyente y democrático."
4245, Concluya.
4246," Termino, presidente. Les invito a que tengamos una visión de largo plazo, a donde imaginemos a la mayor cantidad de jóvenes con una buena preparación, donde veamos a un México que no le cierra las puertas a los estudiantes a nadie, un México incluyente, un México con educación, un México con educación para todos. Muchas gracias, presidente."
4247,"Muchas gracias, diputada. Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
4248," Tiene la palabra, hasta por cinco minutos, el diputado Fernando Donato de las Fuentes Hernández, del Grupo Parlamentario del PRI, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones del Código Penal Federal."
4249," Con el permiso de la Mesa Directiva. Compañeras y compañeros diputados, el combate a la impunidad comienza aquí, en el Poder Legislativo. Aquí, donde debemos cerrarle los espacios, sobre todo cuando se trata de proteger a quien más lo necesita, nuestras niñas y nuestros niños, lo más preciado para cualquier nación, sociedad o individuo."
4250," Concluya, diputado."
4251," No le debemos espacios a la impunidad. A quienes nos laceran, tan lamentablemente como sociedad, como familia y como personas. Ningún abusador de menores debe quedar impune y menos porque lo permite la ley. Les pido por eso, compañeros diputados, que apoyen esta iniciativa."
4252," Gracias, diputado. Insértese el texto íntegro en el Diario de los Debates, y túrnese a la Comisión de Justicia, para dictamen."
4253," Tiene la palabra, hasta por cinco minutos, la diputada Rosalba Valencia Cruz, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona los artículos 4o. y 73 de la Constitución Política de los Estados Unidos Mexicanos."
4254,"Lo que cuenta no es el derecho de cualquiera a adoptar a un niño, sino el derecho del niño a no ser adoptado por cualquiera, Fernando Savater. Con su venia, señor presidente."
4255," Adelante, diputada."
4256,"Muy buenas tardes, compañeras y compañeros legisladores. Nuestro futuro más preciado radica en la niñez, debemos cuidarla y velar por sus derechos, por ello, las niñas, niños y adolescentes deben ser protegidos contra toda forma de abandono, crueldad y explotación."
4257," Gracias a usted, diputada. Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
4258," Tiene la palabra, hasta por cinco minutos, el diputado Evaristo Lenin Pérez Rivera, para presentar iniciativa con proyecto de decreto que expide la Ley Federal que Prohíbe la Fractura Hidráulica, suscrita también por el diputado Raúl Gracia Guzmán, del Grupo Parlamentario del PAN."
4259,"Con su venia, señor presidente."
4260,"Adelante, diputado."
4261," El día de hoy, con mucho gusto el diputado Raúl Gracia Guzmán y el de la voz presentamos una iniciativa que tiene que ver con una preocupación, siendo originarios de Nuevo León y de Coahuila, referente a la práctica de la fractura hidráulica en nuestro país."
4262," Muchas gracias, diputado. Túrnese a la Comisión de Energía, para dictamen, y a la Comisión de Presupuesto y Cuenta Pública, para opinión."
4263," Tiene la palabra hasta por cinco minutos el diputado Maximino Alejandro Candelaria, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos."
4264,Con la venia de la Presidencia.
4265,Adelante.
4266,"Compañeras y compañeros legisladores de esta LXIV Legislatura. Hoy México enfrenta una de sus peores crisis en materia de alimentación. Tomando en cuenta las estadísticas oficiales más recientes, podemos observar que México, de acuerdo con la encuesta de 2015 que realizó el Inegi en México, se contabilizaron 119 millones 938 mil 463 habitantes."
4267,"Concluya, diputado."
4268," Concluyo. Adecuada, suficiente y de acuerdo con las realidades culturales y regionales del país, debe implicar el reconocimiento a tal actividad y a la producción de alimentos desde el marco constitucional hasta sintonizar la legislación internacional que el Estado mexicano ha suscrito y rectificado. Es cuanto."
4269," Muchas gracias, diputado. Túrnese a la Comisión de Puntos Constitucionales, para dictamen."
4270," Tiene la palabra, hasta por cinco minutos, el diputado Javier Ariel Hidalgo Ponce, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto, que reforma el artículo 12 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos."
4271," Con su permiso, presidente."
4272,"Adelante, diputado."
4273," Compañeras y compañeros diputados, el día de hoy subo a esta tribuna para presentar una iniciativa que modifica la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos."
4274," Gracias, diputado. Túrnese a la Comisión de Régimen, Reglamentos y Prácticas Parlamentarias, para dictamen."
4275," Tiene la palabra hasta por cinco minutos la diputada Ediltrudis Rodríguez Arellano, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Ley General de Salud, del Código Penal Federal y de la Ley Federal contra la Delincuencia Organizada. "
4276," Con su permiso, señor presidente."
4277," Adelante, diputada."
4278," Compañeras y compañeros, la presentación de la iniciativa con proyecto de decreto por el que se reforman y adicionan varios artículos de la Ley General de Salud, del Código Penal Federal y de la Ley Federal contra la Delincuencia Organizada, en materia de tráfico de cabello humano."
4279," Concluya, diputada."
4280, ...a favor de la salud y su protección en todas las formas constituidas. Muchas gracias por su atención.
4281," Gracias, diputada. Túrnese a las Comisiones Unidas de Salud y de Justicia para dictamen."
4282," Para concluir el apartado de iniciativas tiene la palabra, hasta por cinco minutos, el diputado Francisco Javier Borrego Adame, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma los artículos 13 de la Ley del Seguro Social, y 279 Ter y 283 de la Ley Federal del Trabajo."
4283," Con su permiso, señor presidente."
4284," Adelante, diputado."
4285,"Compañeras y compañeros diputados, su servidor, Javier Borrego Adame, diputado federal integrante del Grupo Parlamentario de Morena, someto a consideración de esta honorable asamblea la presente iniciativa con proyecto de decreto para el que se modifica la fracción III del artículo 13 de la Ley del Seguro Social, y por el que se adiciona un párrafo tercero al artículo 279 Ter, así como una fracción XIV del artículo 283 de la Ley Federal del
Trabajo, para impulsar la puesta en marcha del Programa de Seguridad Social para los Jornaleros Agrícolas de México."
4286," Concluya, diputado."
4287," ...a los jornaleros agrícolas en los sujetos beneficiarios al régimen voluntario de dicho Seguro. El propósito de la presente iniciativa es garantizar los derechos mínimos que tiene todo trabajador agrícola, según lo mandata el artículo 123 de la Constitución Política de los Estados Unidos Mexicanos. Es decir, obligar a los patrones al cumplimiento de dicho apartado constitucional en materia laboral y de seguridad social. Por esta..."
4288," Concluya, diputado."
4289," ... iniciativa solicito a todos mis compañeras y compañeros diputados, que luchemos para que esta iniciativa salga adelante por el bien de los jornaleros pobres de este país. Muchas gracias. Es cuanto."
4290," Muchas gracias, diputado. Túrnese a las Comisiones Unidas de Seguridad Social y de Trabajo y Previsión Social, para dictamen."
4291,(desde la curul): Presidenta.
4292," Me está solicitando la diputada Lorena Villavicencio la palabra. ¿Con qué objeto, diputada?"
4293," (desde la curul): Sí, señora presidenta. Quiero que me informen, por favor, ¿por qué no está incluido dentro de los acuerdos que se van a discutir a continuación, el referente a la petición que hicimos diversos diputados de diferentes grupos parlamentarios, solicitando la comparecencia del encargado de despacho de la Procurduría General de la República para que viniese aquí al pleno por el asunto tan grave y ominoso del ex gobernador de
Veracruz, Javier Duarte? Quisiera saber qué pasó al respecto, porque sí firmamos diversos diputados."
4294,"  Sí, diputada. Tiene usted toda la razón, esa solicitud fue turnada a la Junta de Coordinación Política. La Junta de Coordinación Política nos hizo llegar el documento, el acuerdo, y lo que vamos a discutir en este momento es lo que nos mandó a nosotros la Junta de Coordinación Política."
4295,(desde la curul): ¿Tendríamos entonces la posibilidad de discutir ese acuerdo?
4296, La Secretaría ejecutiva de la Junta de Coordinación Política le puede dar a usted toda la información correspondiente. No la tiene la Mesa Directiva. Lo que tenemos en la Mesa Directiva es el documento que se pondrá a consideración de ustedes para su discusión. Gracias.
4297," En consecuencia, proceda la Secretaría a dar lectura al acuerdo de la Junta de Coordinación Política por el que se condena enérgicamente el aumento de feminicidios en todo el país, principalmente en el municipio de Ecatepec, estado de México."
4298," Con su permiso. Acuerdo de la Junta de Coordinación Política por el que se condena enérgicamente el aumento de feminicidios en todo el país, principalmente en Ecatepec de Morelos, estado de México."
